title,artist,album,genre,label,bpm,bpmAnalyzed,key,dateAdded,fileType,bitrate,year,rating
Bellfast3,Black Ant,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,83.32579040527342,7,1776312000,flac,726,2022,0
Red Keycard,Near Dark,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,150.0,19,1776312000,flac,867,2022,0
Light Bounce,Emma,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,130.0,21,1776312000,flac,861,2022,0
Rapto Cosmico,Richie Hell,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,98.0,10,1776312000,flac,849,2022,0
Who The Fuck Is Me?,Gosub,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,140.0,9,1776312000,flac,826,2022,0
Cacique,Alpha 606,Homecore! Miami All-Stars,Breaks/Electro/Breakbeat/House/IDM/Drum & Bass/Techno,Omnidisc,,81.2536849975586,1,1776312000,flac,731,2022,0
Bethe Bethe Kese Kese,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,126.61441040039064,16,1776312000,flac,880,2007,0
Tera Jana Kere Rang Lawe,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,84.0,21,1776312000,flac,904,2007,0
Jab Teri Dhun Main Raha Karte They,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,106.0,7,1776312000,flac,883,2007,0
Dil Da Rog Muka Ja Mahi,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,113.0,11,1776312000,flac,856,2007,0
Ghamgar Bare Ne,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,137.79620361328128,14,1776312000,flac,911,2007,0
Abhi Apna Abhi Paraya Hai,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,105.0,17,1776312000,flac,846,2007,0
Ena Akhiyan Noo,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,84.99999999999999,14,1776312000,flac,927,2007,0
Kahin Mot Se Bhi Na Jao,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,150.0,8,1776312000,flac,964,2007,0
Mainoo Ole Bai Ke Pee Lain De,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,87.50159454345703,20,1776312000,flac,886,2007,0
Othe Mera Yar Wasda,Gaudi and Nusrat Fateh Ali Khan,Dub Qawwali,,,,81.50070190429688,23,1776312000,flac,954,2007,0
Rub A Sub,Hiss Is Bliss Feat. Kojo Neatness,Rub A Dub Soldier,Electronic,,,120.0,17,1776312000,mp3,320,2024,0
Dub Inspector,Adrian Sherwood,The Collapse Of Everything,,On-U Sound,,114.00000000000001,1,1776312000,flac,1416,2025,0
adrian_sherwood-body_roll,Unknown Artist,The Collapse Of Everything,Reggae,On-U Sound,,128.0,23,1776312000,flac,1484,2025,0
10 Beloved (Thievery Corporation remix),Unknown Artist,Rise,,,,80.0,12,1776312000,flac,847,2006,0
Babe Roots - Bless Me (feat. Baba Ras),"Babe Roots, Baba Ras",Babe Roots,Reggae,Linear Movement,,130.0,3,1776312000,flac,719,2017,0
"14 Nusrat Fateh Ali Khan - Mustt, Mustt (Massive Attack remix)",Unknown Artist,Back to Mine: Talvin Singh,,,,80.39684295654297,23,1776312000,flac,784,2001,0
For Such a Time (Kuba Remix),Banco De Gaia,"Rewritten Histories, Vol. 3: 2002 - 2013",Electronic,Disco Gecko,,78.99999999999999,19,1776312000,flac,892,2014,0
For Such a Time (Animat Remix),Banco De Gaia,"Rewritten Histories, Vol. 3: 2002 - 2013",Electronic,Disco Gecko,,78.99999999999999,19,1776312000,flac,899,2014,0
The Lower Ground,Bill Laswell,Sacred System: Book Of Exit - Dub Chamber 4,Rock,,,82.0,1,1776312000,flac,679,2002,0
02-kibir_la_amlak-meditation_dub-rpo,Unknown Artist,Book Of Psalms,Reggae,Kibir La Amlak,,122.99999999999999,19,1776312000,flac,757,2018,0
Daisy Dub,Log(M) & Laraaji,The Onrush Of Eternity,"Ambient, Dub",,,146.0,3,1776312000,flac,704,2019,0
Music Mission (feat. Galas),Babe Roots,SYSTM032,Dub,,,129.0,21,1776312000,flac,599,2020,0
World Struggle (Ambient Dub),Babe Roots,SYSTM032,Dub,,,144.02117919921875,11,1776312000,flac,458,2020,0
World Struggle (feat. Danny Coxson),Babe Roots,SYSTM032,Dub,,,144.0,21,1776312000,flac,639,2020,0
Bumper Ball Dub (Karmacoma),Massive Attack,No Protection,Downtempo Dub Electronic Reggae Trip Hop,,,140.9281005859375,7,1776312000,flac,971,1995,0
Spiritual Connection,Babe Roots feat. Baba Ras,Spiritual Connection / Brown Walls,Dub,Big Horn Sound,,133.99999999999997,17,1776312000,flac,781,2017,0
