title,artist,album,genre,bpm,bpm_manual,bpm_alt,key,key_numeric,label,year,track_number,remix,duration_sec,bitrate,file_path
Soul,Swoy,Illusion,,135.36,0.0,101.52,8A,19,,2023,04,,510,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/16. Swoy - Soul.aiff
Maracanã,Kaval,Aneto,,122.62,0.0,91.96,11B,10,,2023,3,,280,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/29. Kaval - Maracanã.aiff
Dare,Chungo,DBGI001,,0.0,0.0,0.0,8A,19,,2020,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/17. Chungo - Dare.aiff
Gips,Impérieux,In and Out EP,Hard Drum,116.69,0.0,87.52,2B,1,,2025,1,,312,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/rugged breaks/6. Impérieux - Gips.aiff
,,,,124.31,0.0,186.63,3B,2,,,,,128,320,/Users/suhaas/Music/136 Dubstep Chill.mp3
AM Yard,Snad,AM Yard,Deep House,135.36,0.0,203.04,5A,16,Scissor & Thread,2025,1,,469,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/05. Snad - AM Yard.aiff
Klub,Kobe JT,Klub,UK Garage,0.0,0.0,0.0,10A,21,,2021,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/20. Kobe JT - Klub.aiff
,,,,124.43,0.0,186.63,3B,2,,,,,128,2117,/Users/suhaas/Music/136 Dubstep Chill.wav
Superficie,Kølpøs,ISOMETRIC VIEW V.A vol II,,127.22,0.0,190.83,7B,6,,2023,5,,353,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/12. Kølpøs - Superficie.aiff
Rage,Oxygeno,Strange Presence EP,,122.61,0.0,91.96,8A,19,,2025,2,,314,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/04. Oxygeno - Rage.aiff
Melt,Pfirter,Melt,,125.33,0.0,94.0,10B,9,,2024,1,,327,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/13. Pfirter - Melt.aiff
Web Glow,Elsa,Web Glow,BOUNCE,0.0,0.0,0.0,8A,19,,2025,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/11. Elsa - Web Glow.aiff
Threads,Carrier,5Y,,133.23,0.0,99.92,5A,16,,2020,2,,370,1411,/Users/suhaas/Music/March 2026 DLs/Carrier - Threads.aiff
Oblong,Tipper,Holding Pattern,,124.4,0.0,93.3,12A,23,,2001,1,,360,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/rugged breaks/5. Tipper - Oblong.aiff
Digging,Arapu,Travel In EP,Minimal / Deep Tech,132.19,0.0,99.14,4B,3,point of view,2022,2,,529,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/10. Arapu - Digging.aiff
Confused,DVS1,Klockworks 08,,0.0,0.0,0.0,5A,16,,2011,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/11. DVS1 - Confused.aiff
Chomdao,Saktu,Fucha EP,House,130.15,0.0,97.62,10B,9,,2025,4,,280,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/12. Saktu - Chomdao.aiff
