title,artist,album,genre,bpm,bpm_manual,bpm_alt,key,key_numeric,label,year,track_number,remix,duration_sec,bitrate,file_path
Get Impetuous,Mall Grab,"How The Dogs Chill, Vol.1",,264.38,0.0,198.28,10B,9,,2018,4,,331,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/32. Mall Grab - Get Impetuous.aiff
Aint No Way,Krafty Kuts,"Breakin' Boundaries, Vol. 2",,132.19,0.0,198.28,3A,14,,2023,2,,289,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/25. Krafty Kuts - Aint No Way.aiff
Bring It Down,Kenji Hina,Bring It Down,,115.89,0.0,86.92,1A,12,,2023,1,,346,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/02. Kenji Hina - Bring It Down.aiff
NTT (Meant 2 B),Coco Bryce,"Lost City Archives, Vol. 2",,128.18,0.0,192.27,3B,2,,2020,1,Meant 2 B,276,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/33. Coco Bryce - NTT (Meant 2 B).aiff
Stuck Trappin',Nic Baker,Push / Stuck Trappin',Footwork,105.75,0.0,158.62,6A,17,,2023,2,,234,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/07. Nic Baker - Stuck Trappin'.aiff
WAKE TF UP,"BOX CAR, Monta",MONTA [COMP3],,133.23,0.0,99.92,12B,11,,2025,1,,117,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/05. BOX CAR, Monta - WAKE TF UP.aiff"
Magnum Opus,Audio Units,Magnum Opus,,119.16,0.0,89.37,4B,3,,2025,1,,390,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/09. Audio Units - Magnum Opus.aiff
Poison,Smokey Bubblin' B,Poison,,0.0,0.0,0.0,10A,21,,2021,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/21. Smokey Bubblin' B - Poison.aiff
Comin at Cha,Dance System,Can't Stop,,130.15,0.0,97.61,10A,21,,2019,2,,445,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/07. Dance System - Comin at Cha.aiff
Frank Lotion,Connor Wall,Reduction,,123.5,0.0,92.63,6B,5,,2025,2,,310,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/18. Connor Wall - Frank Lotion.aiff
Living In The Future,Dawes,Passwords,,265.08,0.0,199.47,10A,21,,2018,1,,290,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/peak time hypnotic electro/4. Dawes - Living In The Future.aiff
Break It Down,"Prunk, RED 87",Express EP,,133.23,0.0,199.87,6B,5,,2025,3,,181,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/25. Prunk, RED 87 - Break It Down.aiff"
U Lyk My Style,Stacy N.K.R,U Lyk My Style,,135.36,0.0,101.52,11A,22,,2024,1,,172,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/28. Stacy N.K.R - U Lyk My Style.aiff
Sweet Surrender,Model Man,Model Man,,122.61,0.0,183.91,8A,19,,2021,3,,209,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/12. Model Man - Sweet Surrender.aiff
Delectable,"Eliza Rose, M4A4",Delectable,UKG,0.0,0.0,0.0,5A,16,,2022,1,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/30. Eliza Rose, M4A4 - Delectable.aiff"
La vaina (Original Mix),Z@p,Always Waiting,Tech House,132.19,0.0,99.14,3A,14,Igloo-Rec,2011,3,Original Mix,442,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/15. Z@p - La vaina (Original Mix).aiff
Echoes of the Tribe,Clotur,Echoes and Reflections,,122.61,0.0,183.91,2B,1,,2025,2,,321,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/06. Clotur - Echoes of the Tribe.aiff
Rasputin,"Majestic, Boney M.",Rasputin,,0.0,0.0,0.0,10A,21,,2021,1,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/34. Majestic, Boney M - Rasputin.aiff"
Pure Glide,Liquid Overdose,Pure Glide,,122.61,0.0,183.91,9A,20,,2016,1,,398,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/12. Liquid Overdose - Pure Glide.aiff
U (Speed Mix),t e s t p r e s s,U (Speed Mix),Dance,112.8,0.0,84.6,11B,10,,2024,01,Speed Mix,182,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/09. t e s t p r e s s - U (Speed Mix).aiff
Morvec Paradox,Audio Units,Magnum Opus,,120.86,0.0,90.64,10A,21,,2025,3,,325,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/02. Audio Units - Morvec Paradox.aiff
Introspection,Daniel Akbar,Reflection,House,135.36,0.0,101.52,11B,10,,2019,2,,400,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/06. Daniel Akbar - Introspection.aiff
Zuuuh,"Amor Satyr, Toma Kami",Pure Static,RAVE,105.75,0.0,158.62,6B,5,,2025,2,,221,2117,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/17. Amor Satyr, Toma Kami - Zuuuh.aiff"
Acompañado (Original Mix),Arapu,Acompañado,Tech House,133.23,0.0,99.92,2B,1,Rawax,2021,1,Original Mix,804,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/09. Arapu - Acompañado (Original Mix).aiff
Time As Weapon,"Ebass, BLURXP",IRIS,,119.16,0.0,89.37,8B,7,,2024,6,,329,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/08. Ebass, BLURXP - Time As Weapon.aiff"
Blinded by Success,AgainstMe,Blinded by Success EP,,119.16,0.0,89.37,8A,19,,2025,1,,299,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/10. AgainstMe - Blinded by Success.aiff
Tripwire (Original Mix),Luar,The Locked Room,,119.16,0.0,89.37,8A,19,,2025,4,Original Mix,331,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/15. Luar - Tripwire (Original Mix).aiff
Disposer,"Per Hammar, Malin Génie",Skull EP,House,132.19,0.0,99.14,8B,7,,2019,2,,512,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/03. Per Hammar, Malin Génie - Disposer.aiff"
Seductive Sequence,Theo Nasa,Sexy Rhythms EP,,116.69,0.0,87.52,6B,5,,2025,2,,354,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/16. Theo Nasa - Seductive Sequence.aiff
Soul Shake,"My Nu Leng, Flava D",Soul Shake,,0.0,0.0,0.0,4B,3,,2016,3,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/19. My Nu Leng, Flava D - Soul Shake.aiff"
Pambele,Vagabundo Club Social,Pambele,,138.69,0.0,104.02,8A,19,,2019,1,,378,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/15. Vagabundo Club Social - Pambele.aiff
Contour,"Heiko Laux, Joel Mull",Centipede,,0.0,0.0,0.0,12A,23,,2019,1,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/07. Heiko Laux, Joel Mull - Contour.aiff"
Diamond,"Franky Rizardo, KiRiK",Diamond,,132.19,0.0,198.28,6A,17,,2022,1,,487,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/04. Franky Rizardo, KiRiK - Diamond.aiff"
Fail Better (Original Mix),Tini,Tessa,,137.56,0.0,103.17,9A,20,Desolat,2011,11,Original Mix,309,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/01. Tini - Fail Better (Original Mix).aiff
Branchbrook Park,James Bangura,Branchbrook Park,,0.0,0.0,0.0,3B,2,,2025,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/30. James Bangura - Branchbrook Park.aiff
Show Me What You Do,Bailey Ibbs,Lockdown Trax,,128.18,0.0,192.27,4A,15,,2020,2,,307,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/04. Bailey Ibbs - Show Me What You Do.aiff
Earthquake (feat. Tala),Nic Baker,Earthquake / Locomotive,,130.15,0.0,195.23,8B,7,,2023,1,,297,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/peak time hypnotic electro/3. Nic Baker - Earthquake (feat. Tala).aiff
That's Right (Original Mix),Tini,Desolat X-Sampler,House,136.45,0.0,102.34,7B,6,Desolat,2009,2,Original Mix,434,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/02. Tini - That's Right (Original Mix).aiff
Cool Vibration,"Midas Field, Fyza",Cool Vibration,,132.19,0.0,99.14,11B,10,,2025,1,,190,2117,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/31. Midas Field, Fyza - Cool Vibration.aiff"
Intent (Original Mix),Jacobworld,Essential Memories EP Part V,,119.16,0.0,89.37,4B,3,,2024,11,Original Mix,381,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/23. Jacobworld - Intent (Original Mix).aiff
Misty Glow (Portway Remix),440 Hz,Transient,Faux,119.14,0.0,178.74,12B,11,,2025,7,Portway Remix,324,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/16. 440 Hz - Misty Glow (Portway Remix).aiff
Blue So Shady,"KiRiK, Brad Brunner",808 Flex EP,,0.0,0.0,0.0,1A,12,,2023,1,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/05. KiRiK, Brad Brunner - Blue So Shady.aiff"
Break Of Dawn,Rhythm On The Loose,Break of Dawn EP,,0.0,0.0,0.0,8A,19,,2021,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/08. Rhythm On The Loose - Break Of Dawn.aiff
Bad Boy,"Marcel Dettmann, Ben Klock",Phantom Studies,Techno,0.0,0.0,0.0,4B,3,,2017,5,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/05. Marcel Dettmann, Ben Klock - Bad Boy.aiff"
Go2hyde,"DJ Swagger, Ease Up George",Go2hyde,Speed Garage,119.16,0.0,89.37,4B,3,,2021,1,,300,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/05. DJ Swagger, Ease Up George - Go2hyde.aiff"
Neuroresonance,"Kohra, Monophonik",Eastern Timbres,Hypnotic (Peak / Dark),0.0,0.0,0.0,2B,1,,2025,4,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/15. Kohra, Monophonik - Neuroresonance.aiff"
State of Mind (Thomsen 98 Mix),Exos,Sweet Dreams,,120.0,0.0,90.0,12B,11,,2025,4,Thomsen 98 Mix,335,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/07. Exos - State of Mind (Thomsen 98 Mix).aiff
Slight Munch,"Heiko Laux, Joel Mull",Dcltd.01-22,,133.23,0.0,99.92,3B,2,,2021,13,,453,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/08. Heiko Laux, Joel Mull - Slight Munch.aiff"
Echoes in Blue,Answer Code Request,The Sound of Kokölò 2025,,130.15,0.0,97.62,11A,22,,2025,8,,402,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/06. Answer Code Request - Echoes in Blue.aiff
Fuck Off and Dance 🅴,Soundbwoy Killah,"Club Culture, Vol. 1",,134.29,0.0,100.71,8B,7,,2018,3,,401,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/02. Soundbwoy Killah - Fuck Off and Dance.aiff
Kotika Nga Te (Disco Edit),Unnayanaa,Kotika Nga Te,,0.0,0.0,0.0,8B,7,,2024,1,Disco Edit,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/13. Unnayanaa - Kotika Nga Te (Disco Edit).aiff
The Sweat And The Salt,Oscar Mulero,The Stranger,,120.86,0.0,90.64,11B,10,,2024,1,,305,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/21. Oscar Mulero - The Sweat And The Salt.aiff
Head Up (Tribute Mix),Pontchartrain,Motor City Memories,,136.45,0.0,204.68,4A,15,,2019,3,Tribute Mix,572,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/09. Pontchartrain - Head Up (Tribute Mix).aiff
Polymorphism 1,Alexander Johansson,Polymorphism,,128.18,0.0,160.23,3B,2,,2021,1,,380,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/11. Alexander Johansson - Polymorphism 1.aiff
37 - Photonz - Emerald City (Almaty Remix),Photonz,Gennaro,"Electro, Acid",127.22,0.0,95.41,7B,6,,2018,37,Almaty Remix,296,1411,/Users/suhaas/Music/ResisDance/converted_aiff/37 - Photonz - Emerald City (Almaty Remix).aiff
Personal Request,"Lake Hills, Frythm",Across the Room,,118.32,0.0,88.74,3B,2,,2024,6,,382,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/09. Lake Hills, Frythm - Personal Request.aiff"
03 - Jorge Caiado - Mad Chords (Original Mix),Unknown Artist,Profecia,,130.15,0.0,97.62,1A,12,,2002,03,Original Mix,326,1411,/Users/suhaas/Music/ResisDance/converted_aiff/03 - Jorge Caiado - Mad Chords (Original Mix).aiff
Modern Dialect (Original Mix),Rich NXT,Modern Dialect EP,Tech House,133.23,0.0,99.92,11B,10,Pleasure Zone,2020,1,Original Mix,461,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/04. Rich NXT - Modern Dialect (Original Mix).aiff
Dr Feel Right (feat. The Egyptian Lover & Rome Fortune),"Josh Baker, The Egyptian Lover, Rome Fortune",Dr Feel Right (feat. The Egyptian Lover & Rome Fortune),,132.19,0.0,99.14,4B,3,,2025,1,,146,2117,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/20. Josh Baker, The Egyptian Lover, Rome Fortune - Dr Feel Right (feat. The Egyptian Lover & Rome Fortune).aiff"
Electromagnetic Field,not even noticed,Microtransitions EP,,120.86,0.0,90.64,6A,17,,2023,1,,387,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/03. not even noticed - Electromagnetic Field.aiff
Fighting Runt,Jan Valta and Adam Sporka,Kingdom Come: Deliverance (Original Soundtrack Essentials),,234.3,0.0,177.72,3A,14,,2018,14,,90,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/28. Jan Valta and Adam Sporka - Fighting Runt.aiff
Astral Oscillator,Giuliana Mastramonio,ALBUM GMA001,,130.15,0.0,162.68,1A,12,,2025,5,,118,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Weird Sleazy Obscure Dub/1. Giuliana Mastramonio - Astral Oscillator.aiff
Sun Never Rose (Vishal Unni Remix),Soop,Shadow Man,,105.75,0.0,158.62,6B,5,,2024,5,Vishal Unni Remix,342,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/11. Soop - Sun Never Rose (Vishal Unni Remix).aiff
A Friend Of A Friend,"Ben Klock, Etapp Kyle",Ostgut Ton Fünfzehn + 1,,118.32,0.0,88.74,5A,16,,2021,8,,369,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/06. Ben Klock, Etapp Kyle - A Friend Of A Friend.aiff"
Love Inna Basement (Midnite XTC),Dj Bogdan,Love Inna Basement,,128.18,0.0,192.27,4B,3,,2022,1,Midnite XTC,351,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/rugged breaks/4. Dj Bogdan - Love Inna Basement (Midnite XTC).aiff
Feel The 808 (Sarah Farina Remix),Pura Pura,Odyssey Club,,0.0,0.0,0.0,6A,17,,2022,5,Sarah Farina Remix,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/13. Pura Pura - Feel The 808 (Sarah Farina Remix).aiff
Girls Only Want 1 Thing and It's Music!,Ciel,UU003,,125.34,0.0,94.0,9B,8,,2023,2,,242,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Weird Sleazy Obscure Dub/3. Ciel - Girls Only Want 1 Thing and It's Music!.aiff
Nu Te Supara Frate (Original Mix),Mihai Pol,Ideas,Minimal / Deep Tech,136.45,0.0,102.34,8A,19,Tzinah Records,2015,2,Original Mix,604,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/08. Mihai Pol - Nu Te Supara Frate (Original Mix).aiff
Nindjougou (Unnayanaa Remix),Madou Kouyate,Nindjougou,,0.0,0.0,0.0,12A,23,,2019,3,Unnayanaa Remix,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/12. Madou Kouyate - Nindjougou (Unnayanaa Remix).aiff
Huguk,"Cristi Cons, Vlad Caia, Raresh, Verico",Numiris,Minimal / Deep Tech,134.29,0.0,100.71,8B,7,Amphia,2025,1,,712,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/07. Cristi Cons, Vlad Caia, Raresh, Verico - Huguk.aiff"
Hebele Hubulu (Zuma Dionys Remix),Omerar Nanda,Hebele Hubulu,,169.2,0.0,126.9,1B,0,,2019,2,Zuma Dionys Remix,408,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/16. Omerar Nanda - Hebele Hubulu (Zuma Dionys Remix).aiff
Liquor & Cigarettes,"Chase & Status, Hedex, ArrDee",Liquor & Cigarettes,,0.0,0.0,0.0,9A,20,,2023,1,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/10. Chase & Status, Hedex, ArrDee - Liquor & Cigarettes.aiff"
Play Me Off (feat. LYMA),"Kyle Walker, FLETCH, Lyma",Play Me Off (feat. LYMA),,0.0,0.0,0.0,5A,16,,2025,1,,0,0,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/26. Kyle Walker, FLETCH, Lyma - Play Me Off (feat. LYMA).aiff"
Infinite Content Loop (Zed Bias 4x4 Mix),Plastician,Infinite Content Loop,Bass / Club,128.18,0.0,96.14,9A,20,Terrorhythm Recordings,2025,02,Zed Bias 4x4 Mix,264,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/10. Plastician - Infinite Content Loop (Zed Bias 4x4 Mix).aiff
Song for a Friend (feat. Cropper),Byron the Aquarius,Leaving This Planet,,0.0,0.0,0.0,1A,12,,2017,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/06. Byron the Aquarius - Song for a Friend (feat. Cropper).aiff
